,text_id,reader_id,lang,spearman_r,spearman_p,measure,layer
351,6,ge_9,ge,0.08706525927660959,0.29436627737416593,Gaze duration,First
352,6,ge_9,ge,-0.05267512410369553,0.5263158049175485,Gaze duration,Middle
353,6,ge_9,ge,-0.06364611746216443,0.4437611162292061,Gaze duration,Last
354,6,gr_9,gr,0.05057083922054568,0.5429925225857488,Total fixation duration,First
355,6,gr_9,gr,0.003282986648935768,0.9685201356029518,Total fixation duration,Middle
356,6,gr_9,gr,-0.005606389168033003,0.9462679658833539,Total fixation duration,Last
357,6,gr_9,gr,0.08046528496626344,0.3326283605374234,Gaze duration,First
358,6,gr_9,gr,-0.05499097084224285,0.5082666249443513,Gaze duration,Middle
359,6,gr_9,gr,-0.06290942885854824,0.44906475856017203,Gaze duration,Last
360,6,he_8,he,0.03647553060468912,0.6609420057696157,Total fixation duration,First
361,6,he_8,he,-0.0003664553566706209,0.9964852457127671,Total fixation duration,Middle
362,6,he_8,he,-0.002874974499240644,0.9724308272315447,Total fixation duration,Last
363,6,he_8,he,0.08324211293828462,0.3161591213452459,Gaze duration,First
364,6,he_8,he,-0.052355941824236064,0.5288286036739773,Gaze duration,Middle
365,6,he_8,he,-0.060861869811916366,0.4639911289556242,Gaze duration,Last
366,6,it_9,it,0.05057083922054568,0.5429925225857488,Total fixation duration,First
367,6,it_9,it,0.003282986648935768,0.9685201356029518,Total fixation duration,Middle
368,6,it_9,it,-0.005606389168033003,0.9462679658833539,Total fixation duration,Last
369,6,it_9,it,0.08046528496626344,0.3326283605374234,Gaze duration,First
370,6,it_9,it,-0.05499097084224285,0.5082666249443513,Gaze duration,Middle
371,6,it_9,it,-0.06290942885854824,0.44906475856017203,Gaze duration,Last
372,6,no_9,no,0.03647553060468912,0.6609420057696157,Total fixation duration,First
373,6,no_9,no,-0.0003664553566706209,0.9964852457127671,Total fixation duration,Middle
374,6,no_9,no,-0.002874974499240644,0.9724308272315447,Total fixation duration,Last
375,6,no_9,no,0.08324211293828462,0.3161591213452459,Gaze duration,First
376,6,no_9,no,-0.052355941824236064,0.5288286036739773,Gaze duration,Middle
377,6,no_9,no,-0.060861869811916366,0.4639911289556242,Gaze duration,Last
378,6,ru_9,ru,0.009382408220721507,0.9101994113308307,Total fixation duration,First
379,6,ru_9,ru,0.020366644943792887,0.8065727183368125,Total fixation duration,Middle
